Collection Url,Legacy System ID,Creator,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Title,Cataloging Notes,Repository Ingestion Notes,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,
,28309,"Cacciatore, Joanne","Lacasse, Jeff","Lietz, Cynthia A.","Mcpherson, Jane",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A parent’s tears: primary results from the traumatic experiences and resiliency study,,,,Parental grief,Resilience (Personality trait),Children -- Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28321,"Carlson, Bonnie E.","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Risk and Resilience Perspective on Unaccompanied Refugee Minors,,No files available for this object,,Unaccompanied refugee children,Resilience (Personality trait),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship,,,,,,,,,,,,,,,,,,
,28322,"Duncan, Catherine","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A Systematic Review of the Peer-Reviewed Literature on Self-Blame, Guilt, and Shame",,,,Parental grief,Parents--Psychology,Blame,Guilt,Shame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28303,"Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate Bereavement Practice After the Death of a Native American Child,,,,Cross-cultural counseling,Cultural competence,Indians of North America -- Mental health,Children -- Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28304,"Cacciatore, Joanne","Flint, Melissa",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTEND: Toward a Mindfulness- Based Bereavement Care Model,,,,Mindfulness-based cognitive therapy,Bereavement,Secondary traumatic stress,Mental health personnel and patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28296,"Blood, Cybele","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Best practice in bereavement photography after perinatal death: qualitative analysis with 104 parents,,,,Postmortem photography,Perinatal death,Bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28319,"Cacciatore, Joanne","Thieleman, Kara","Killian, Michael","Tavasolli, Kyoko",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braving Human Suffering: Death Education and its Relationship to Empathy and Mindfulness,"Thieleman, Kara: https://isearch.asu.edu/profile/1176364",,,Social work education,Mental health education,Empathy,Mindfulness (Psychology),Death -- Psychological aspects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28326,"Fox, Melanie","Cacciatore, Joanne","Lacasse, Jeff",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child Death in the United States: Productivity and the Economic Burden of Parental Grief,,,,Grief,Absenteeism (Labor),Parental grief,Children -- Death,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28308,"Cacciatore, Joanne","Froen, J.F.","Killian, Michael",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Condemning Self, Condemning Other: Blame and Mental Health in Women Suffering Stillbirth",,No files available for this object,,Blame,Stillbirth,Women -- Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship,,,,,,,,,,,,,,,,,,
,28339,"Umphrey, Laura","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coping with the ultimate deprivation: narrative themes in a parental bereavement support group,,,,Self-help groups,Interpersonal communication,Parental grief,Bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
